Blog	kids	golden	catchy	therefore	travel	fit	songwriter	effects	needed	friend	feeling	mouth	singer	saying	rich	lots	nature	dave	split	crowd	bottom	role	roll	minute	working	originally	following	didn	seriously	internet	wrong	turned	west	formed	photos	former	pull	dirty	small	past	hasn	full	november	experience	followed	door	company	learn	huge	paper	scott	roots	self	singles	sometimes	project	parents	couple	chorus	influence	makes	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	hand	musical	thanks	born	available	turns	gun	guy	extra	lounge	kurt	brain	non	drop	yeah	tried	tomorrow	caught	vocals	verse	gonna	fully	start	stars	poor	month	streets	learned	tracks	ask	almost	evening	heavy	american	grey	albums	feels	culture	close	pictures	missing	forgotten	lived	lives	smart	grand	friends	obviously	popular	e	wave	telling	michael	ryan	camera	meet	including	special	sitting	times	probably	hits	tuesday	party	http	lost	lose	north	beats	star	stay	sorry	likely	men	met	recordings	fantastic	room	amazing	third	personal	ears	tiny	seven	yes	yet	save	deal	dead	magazine	journey	weekend	happening	father	round	okay	filled	box	boy	bob	visit	fuck	interesting	performance	morning	wonder	label	enough	across	august	tour	among	wake	images	each	saturday	u	hour	needs	coming	point	century	cut	absolutely	epic	planet	entire	talent	closing	y	despite	however	johnny	hair	school	blue	leaves	excellent	drummer	alex	bridge	hopefully	news	n	sings	gave	stuck	setting	picture	level	posts	goes	andy	figure	turn	sure	later	jazz	quiet	featuring	direction	andrew	spirit	case	without	moon	list	sun	version	flat	rather	short	clouds	hill	friday	story	store	king	electric	wrote	solo	attention	sweet	questions	range	nick	nice	include	melodies	folk	leaving	edit	g	unknown	why	fear	feat	bought	joy	job	april	perhaps	promise	incredible	hurt	machine	wind	wasn	listen	person	released	theme	unfortunately	fair	child	possible	possibly	unique	steps	energy	happy	team	current	bloody	winter	spot	date	records	prince	future	guitar	pop	went	industry	act	image	gone	original	section	hours	pick	action	keeping	beautiful	sense	station	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	set	sex	sea	whole	synth	fire	funny	recent	anything	link	line	mood	miles	bird	led	standing	doubt	animal	kiss	david	clearly	hope	edition	drum	co	cd	colour	moments	appeared	stage	sister	official	francisco	ii	green	somewhere	dj	de	com	voice	kept	fight	together	p	change	december	remember	cold	half	hall	entirely	el	en	ex	ep	space	shows	size	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	expect	describe	moved	strong	ahead	musically	food	neil	robert	since	bass	towards	pretty	kind	during	won	genre	liked	wait	else	used	march	run	seeing	himself	doesn	depth	download	attack	ben	bed	anyway	written	sold	addition	kick	sonic	ha	recommend	type	tell	give	somewhat	acoustic	surprise	isn	loud	hook	girls	matter	points	stop	near	shame	www	normal	form	classic	shit	felt	fell	string	effort	growing	crazy	pink	sunday	guys	grow	maybe	vinyl	question	pain	paid	behind	reading	jr	margin	middle	same	totally
One Base on an Overthrow	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	3	1	2	0	0	0	4	1	1	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	2	0	0	0	2	1	0	0	1	0	0	0	0	7	12	0	1	1	0	1	1	0	0	0	0	0	2	2	0	1	0	0	2	2	0	0	2	2	0	1	0	0	1	1	1	0	0	2	0	4	0	0	0	1	3	0	0	8	0	2	0	1	1	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	3	3	1	0	0	1	0	0	2	0	4	7	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	2	2	1	0	0	0	0	2	0	2	2	0	0	1	3	0	0	0	0	2	0	1	0	1	0	0	1	3	2	2	0	0	0	0	0	0	0	0	2	3	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	2	0	0	2	0	1	1	0	1	0	1	0	7	1	1	0	1	2	0	0	1	0	0	4	0	2	0	0	0	0	0	3	0	7	0	0	2	2	1	3	0	0	0	1	1	0	0	1	0	0	1	1	0	0	8	0	1	0	0	0	0	1	0	0	1	8	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	10	0	1	2	4	5	1	0	0	0	1	0	0	2	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	2	0	5	2	1	0	2	0	0	0	0	4	0	1	1	2	0	0	2	2	0	0	0	0	1	2	0	0	1	0	0	1	2	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	1	4	1	1	0	0	2	0	0	0	0	4	0	1	0	0	1	0	0	0	2	1	0	0	0	5	0	1	12	2	0	2	0	2	2	3	2	0	0	0	0	5	0	2	0	0	1	5	1	1	0	0	0	2	0	1	1	3	2	0	0	3	0	0	3	1	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	2	0	9	0	0	2	0	0	0	0	0	0	4	0
Doginasweater's Music Reviews (And Other Horseshit)	2	0	1	0	0	0	0	0	1	0	2	3	3	1	0	1	1	0	1	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	2	2	1	1	0	1	0	0	0	0	2	0	0	0	5	0	3	0	0	2	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	3	2	2	1	3	0	0	0	3	0	1	0	0	0	1	2	0	0	6	0	6	0	2	3	0	0	3	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	1	0	0	1	2	0	1	3	7	1	0	0	0	2	1	1	1	0	0	1	1	0	0	4	2	0	6	1	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	3	2	2	0	2	0	0	3	0	0	0	4	1	0	2	1	2	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	8	1	0	2	0	3	0	0	4	2	0	1	0	4	0	1	1	0	0	0	1	0	0	0	0	3	4	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	2	2	2	0	1	0	0	2	0	0	1	12	1	4	2	0	0	0	3	1	0	0	1	3	0	0	1	0	2	0	5	0	0	2	9	2	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	0	0	0	2	0	1	0	0	7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	0	2	0	1	0	2	0	3	0	1	0	0	0	3	0	1	0	0	0	1	1	1	0	0	5	1	0	5	0	2	1	0	0	5	1	4	0	0	0	2	0	0	9	0	1	0	0	2	0	0	2	0	0	3	3	4	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	5	0	0	0	2	2	0	1	2	1	1	0	0	0	0	1	0	6	0	0	0	3	1	0	0	0	0	1	4	0	0	0	3	0	0	2	0	0	6	6
La espiral de Joseph K	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
IoTube     :)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eli Jace | The Mind Is A Terrible Thing To Paste	0	0	0	0	0	0	1	1	2	1	2	0	2	2	0	0	0	0	0	0	0	0	3	3	3	0	1	2	0	3	1	0	7	1	0	0	0	0	1	5	2	12	1	2	1	0	2	0	1	0	0	0	2	2	1	0	0	0	8	0	4	0	0	0	5	0	0	3	0	0	0	0	2	0	0	2	1	0	0	0	2	2	1	0	0	1	0	0	0	0	2	0	1	4	2	0	0	2	0	0	0	0	1	1	0	0	2	6	3	1	1	1	1	0	0	2	1	10	0	2	0	5	3	1	7	4	1	1	0	0	1	2	1	0	0	2	0	1	1	1	0	0	0	0	0	0	3	0	3	2	5	0	2	12	3	1	0	0	9	0	1	1	1	0	0	0	3	0	4	0	0	1	5	0	1	1	0	2	0	0	0	0	0	0	2	2	4	0	0	0	3	0	1	3	1	2	1	2	1	3	1	4	0	4	2	1	0	0	1	4	0	6	0	0	0	1	0	0	0	0	1	0	3	3	2	2	0	1	4	0	0	1	0	13	2	3	1	2	2	0	1	0	0	3	2	7	0	1	0	1	0	0	1	4	4	1	6	10	1	0	2	0	0	0	0	0	3	2	0	3	0	3	0	2	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	0	3	0	0	0	3	2	0	1	5	0	1	1	0	0	0	0	0	0	0	1	2	0	3	0	3	2	1	0	17	2	3	0	0	0	3	3	0	0	1	0	0	1	1	0	0	2	0	0	2	2	0	1	0	3	2	1	1	4	0	1	1	0	3	0	5	4	1	5	2	1	0	0	2	0	0	2	3	0	2	0	9	0	1	0	0	0	1	1	2	0	0	0	4	0	0	1	4	2	0	4	0	0	1	5	3	4	0	0	2	0	2	2	3	4	0	2	2	0	3	0	1	0	2	1	0	0	0	2	0	0	1	0	0	0	0	4	0	9	6	0	1	1	6	1	1	0	1	0	1	0	1	0	3	2	0	0	0	3	1	0	2	0	0	0	0	0	0	0	3	5	1	4	3	0	0	0	2	2	0	0	3	0	0	0	2	6	3	7	1	0	0	0	2	1	0	0	3	7	1	0	1	1	1	0	0	0	0	7	0
The Jeopardy of Contentment	4	1	1	1	0	3	4	0	2	6	4	0	2	1	1	1	2	1	2	1	1	2	4	1	5	2	2	13	3	2	12	0	0	0	0	2	1	0	1	7	1	10	1	5	1	0	0	0	6	0	7	0	4	0	3	0	1	11	6	4	10	1	1	2	2	0	0	2	2	5	0	2	2	2	13	1	0	2	0	7	1	5	0	1	0	0	3	1	1	3	6	4	4	0	1	1	8	1	0	4	0	1	3	2	0	2	1	14	3	3	1	6	2	1	2	2	1	17	2	6	0	5	2	0	40	1	1	1	2	3	2	0	1	0	0	2	0	2	2	0	0	0	4	0	1	0	0	1	7	11	0	0	2	0	2	4	0	0	3	2	2	2	6	0	0	6	3	8	4	3	0	1	0	3	3	2	1	4	0	0	3	1	4	0	1	3	0	1	2	1	7	10	0	3	1	4	6	1	0	3	0	0	1	5	9	0	1	3	5	8	0	3	4	0	2	3	1	1	0	3	6	8	0	6	4	1	1	3	2	3	2	3	0	2	2	0	0	2	1	9	3	0	1	3	11	3	0	0	1	0	0	1	4	4	1	6	2	2	1	1	1	0	4	6	4	0	3	4	3	8	4	3	0	1	2	12	1	2	0	0	2	0	4	9	0	0	0	0	4	0	2	0	2	0	1	2	4	18	6	7	4	1	1	1	1	0	0	0	2	1	1	0	2	0	0	0	5	0	7	22	10	3	0	0	0	4	2	0	3	2	2	1	2	8	0	0	10	0	2	0	2	1	1	1	16	5	1	4	1	0	0	6	2	6	0	3	10	1	3	1	1	1	0	0	3	1	1	8	5	6	0	1	0	3	1	1	0	2	0	1	0	1	3	2	1	0	2	4	0	2	7	0	6	0	6	0	2	1	0	0	0	0	1	1	16	2	3	0	1	11	0	1	1	5	8	1	4	0	5	3	1	0	5	0	0	0	0	2	15	2	2	16	13	4	3	2	6	3	1	3	1	6	2	1	16	0	1	0	0	2	1	3	1	2	1	1	6	1	2	3	3	0	5	2	3	2	2	0	0	3	3	1	1	0	1	3	5	7	2	2	0	0	0	3	3	2	2	3	9	0	0	1	2	6	3	1	0	8	9	1
Boggle Me Thursday	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	26	0	0	25	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Bunker	0	0	0	1	0	2	0	5	0	1	2	1	2	3	2	0	3	0	0	1	0	16	0	3	2	0	1	2	0	0	1	7	9	0	0	2	0	0	9	6	2	2	0	8	0	1	0	0	0	0	2	0	0	0	2	2	0	1	0	0	11	0	0	0	9	1	0	1	8	0	1	0	0	0	1	8	1	0	0	2	1	6	0	1	2	0	8	0	0	5	8	9	1	1	4	1	4	0	0	0	0	1	0	1	2	0	1	0	0	0	0	4	3	1	0	2	0	0	0	14	0	2	5	0	1	2	1	4	1	0	0	0	5	2	3	1	0	1	2	0	4	10	1	3	0	1	3	1	8	1	2	0	1	0	18	0	0	0	6	1	2	0	2	0	0	6	3	0	2	6	0	0	0	2	7	1	0	2	0	5	1	2	3	0	0	4	0	2	4	1	0	5	24	1	2	0	2	2	0	1	0	0	2	3	0	0	3	2	3	17	0	3	4	0	5	9	5	0	1	0	5	0	0	2	0	0	2	0	0	0	0	4	3	0	4	1	2	6	3	0	6	0	0	8	10	4	9	1	12	8	0	0	0	5	0	1	0	4	0	0	2	0	1	0	35	0	3	1	0	1	4	0	1	2	0	3	0	0	3	0	2	0	0	2	1	1	1	1	0	0	7	0	0	0	0	4	3	1	1	0	1	0	0	1	2	1	3	0	1	1	0	2	0	0	0	2	0	0	2	0	0	1	0	2	0	3	3	0	4	1	8	0	7	9	0	0	2	0	0	1	1	0	8	2	0	4	0	0	0	0	0	4	0	0	1	6	10	0	1	4	0	0	1	0	2	1	0	2	5	2	0	1	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	3	0	3	3	0	4	0	0	2	1	0	3	0	0	2	0	6	8	0	3	1	0	10	4	2	2	19	2	0	0	0	4	4	0	0	6	0	0	0	0	4	14	0	2	2	6	5	7	16	1	0	5	4	0	4	1	11	4	2	0	0	1	1	0	3	0	0	1	0	4	2	2	6	5	0	0	3	10	0	0	1	6	1	4	1	2	0	0	5	4	2	1	0	0	1	0	4	0	0	0	4	2	0	7	3	0	6	0	0	0	5	1	2
Mystic Chords Of Memory	0	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	1	0	0	6	5	0	0	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	3	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	6	0	0	1	0	1	2	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	3	1	0	0	0	0	1	0	0	1	5	0	1	1	0	0	2	0	3	0	1	3	0	0	0	1	1	0	5	1	0	0	0	1	1	0	0	3	0	3	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	3	0	0	1	2	0	1	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	6	1	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	3	1	0	3	0	2	0	1	1	2	2	0	1	2	1	0	0	0	3	0	0	0	3	0	2	0	0	0	1	1	4	1	0	0	1	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	3	1	0	0	0	0	0	3	0	1	0	0	0	0	2	1	0	0	3	2	0	0	1	0	0	2	0	0	4	1	0	0	0	0	0	0	2	0	1	3	3	2	0	0	3	0	4	0	0	0	0	0	26	1	0	4	4	5	0	0	3	0	0	0	0	8	1	3	0	3	4	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	3	0	1	0	0	1	0	0	0	1	0	0	0	9	0	2	0	0	3	1	0	1	0	0	3	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	4	0	0	1	0	1	0	0	1	0	2	1	1	0	0	0	0	0	1	1	1	0	0	1	1	7	1	1	5	0	0	0	0	1	0	0	0	0	1	0
Mile In Mine	3	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	2	4	0	0	1	1	0	1	4	0	0	0	0	1	0	1	0	0	4	0	2	0	0	3	1	1	16	2	0	0	5	2	0	0	0	0	1	1	0	2	2	1	1	0	5	1	0	0	1	1	0	4	1	1	0	1	1	0	1	1	0	0	0	2	0	1	5	0	0	1	1	1	0	2	2	0	1	2	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	4	1	0	0	0	0	3	0	0	3	0	1	1	0	0	0	0	1	0	4	0	0	4	1	1	0	0	0	0	3	1	2	0	23	0	1	7	0	0	0	1	1	1	1	0	1	0	0	2	0	2	1	3	0	1	1	0	0	2	0	1	0	0	27	0	1	0	0	2	1	1	0	0	5	2	1	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	2	11	0	0	2	4	2	1	0	0	0	0	0	1	0	2	0	1	2	1	0	0	2	0	1	0	2	0	1	0	0	0	2	1	0	0	0	2	2	0	3	0	0	2	0	5	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	0	0	0	1	0	2	0	0	0	0	1	1	0	1	5	2	0	0	2	3	0	0	0	8	2	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	2	3	0	0	0	0	2	0	1	4	0	0	1	2	0	3	0	0	0	2	1	2	10	0	2	1	3	2	2	0	0	0	1	4	0	0	0	0	3	10	0	1	3	2	0	2	0	3	2	0	0	0	0	0	1	0	1	0	1	0	1	4	3	0	0	0	1	1	0	0	0	0	0	4	0	1	1	0	0	0	0	0	1	2	0	0	0	2	0	1	1	0	2	0	0	0	1	1	0	0	1	0	0	0	4	0	3	0	0	0	1	2	0	1	0	1	2	1	1	0	0	1	0	1	0	0	1	2	0
Deadbeat	1	1	0	1	0	3	0	2	1	2	0	0	0	2	6	0	1	1	0	2	1	0	0	3	3	0	0	1	0	0	3	4	0	0	0	0	1	0	3	0	1	1	1	0	1	1	2	1	1	1	0	0	1	2	0	0	0	1	0	0	2	0	1	0	1	0	0	0	2	1	0	2	2	2	3	3	0	2	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	2	1	2	1	1	0	0	0	0	0	2	3	0	1	0	0	1	0	0	5	5	4	3	0	0	1	0	6	0	0	0	1	1	0	1	0	0	1	1	2	0	0	1	1	1	0	1	0	1	0	1	2	0	2	1	4	2	1	1	1	1	3	0	1	0	1	3	0	0	1	5	0	1	4	0	0	0	1	0	0	3	2	1	0	0	0	1	0	0	0	0	0	0	2	2	1	2	2	0	0	0	0	0	9	3	3	1	0	1	1	1	2	0	3	1	1	4	0	5	1	0	3	0	1	0	0	3	2	0	1	1	0	0	1	3	0	1	1	2	5	0	4	0	0	2	2	0	2	0	0	1	3	5	0	2	0	3	0	1	4	1	0	1	2	1	3	1	5	0	2	0	3	0	1	0	2	0	0	1	3	1	0	1	2	0	0	5	0	0	1	5	0	0	2	1	1	2	1	0	0	2	0	2	1	0	2	1	2	0	5	1	1	0	0	0	0	5	1	1	0	0	0	1	0	0	0	6	2	3	3	1	0	4	1	1	6	0	2	1	1	4	0	1	3	3	1	0	4	1	0	0	0	3	0	2	6	0	0	0	0	3	5	1	0	1	4	0	1	0	1	0	0	0	0	0	6	1	1	1	1	1	0	0	2	4	1	0	0	0	0	0	0	1	1	1	3	2	1	5	2	0	10	1	1	1	0	1	1	0	0	2	4	1	0	3	0	2	0	0	0	2	1	0	1	0	1	0	0	5	0	0	0	1	0	0	3	2	2	2	0	3	2	0	0	1	1	3	7	1	0	1	2	0	0	1	0	0	0	1	5	0	1	0	0	0	0	5	3	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	3	5	0	1	0	3	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	7	0
.	1	1	0	0	0	1	5	1	3	6	4	1	5	1	2	0	0	0	4	1	0	2	1	8	1	1	1	4	1	2	2	2	0	4	1	6	4	5	3	3	0	19	1	1	2	0	1	1	0	0	4	2	17	3	5	14	1	2	14	2	6	0	3	1	5	1	0	12	5	2	1	3	1	7	3	1	8	1	10	4	4	9	2	4	0	7	4	15	0	7	1	9	0	10	3	0	4	1	2	1	3	2	0	2	1	5	1	33	6	0	1	3	4	0	12	1	1	10	3	7	4	6	3	0	8	16	0	3	0	0	3	1	3	4	0	7	0	2	0	5	0	2	1	0	0	8	5	1	5	3	3	5	12	0	3	2	0	1	1	2	0	4	0	0	2	1	2	1	11	1	0	0	0	1	12	0	0	17	0	1	3	0	1	1	0	3	0	7	1	1	1	0	0	2	2	14	4	10	0	13	13	0	0	10	5	3	0	5	8	7	2	5	3	2	0	6	3	4	0	4	4	6	0	15	4	0	6	1	2	0	1	0	0	3	3	0	1	1	1	2	1	1	0	3	9	9	2	1	5	0	0	0	4	5	4	6	8	7	2	4	13	0	1	1	3	0	2	5	6	14	1	1	4	5	1	8	5	7	4	0	0	6	1	6	2	0	0	1	1	10	14	1	5	2	3	0	1	6	1	36	1	0	0	1	4	2	0	0	2	1	1	4	1	7	3	6	18	0	1	57	46	2	1	19	2	2	2	2	4	2	0	2	1	6	0	2	20	1	2	4	6	1	2	0	7	9	2	6	47	0	2	5	7	1	1	12	2	4	7	1	0	0	4	1	7	1	5	1	0	6	15	5	4	7	7	8	1	0	1	1	2	5	1	2	1	4	0	6	1	2	6	2	4	3	2	0	4	0	2	0	0	1	47	11	7	0	2	0	1	2	4	1	1	3	0	1	7	0	1	4	2	3	12	4	0	1	0	2	10	23	0	5	6	7	2	2	0	3	3	1	8	2	1	2	5	0	20	4	0	3	2	1	4	4	2	5	0	3	0	4	3	2	9	4	4	0	5	1	6	1	2	2	0	0	0	4	20	1	2	2	2	2	0	0	2	1	1	0	10	14	5	0	0	1	1	1	0	2	12	0
